id,projectCode,title,agency,ministry,category,state,approvalDate,startDate,targetDoC,revisedDoC,originalCostCr,revisedCostCr,spentCr,physicalProgress,financialProgress,costOverrunCr,costOverrunPct,delayMonths,riskScore,trustScore,status,statusLabel,divergenceGap
1,612786,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,03/2023,01/2024,01/2026,09/2026,265.91,265.91,176.38,80.0,66.33,0.0,0.0,8,10,90,delayed,Watchlist (Amber),13.67
2,701107,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,06/2020,09/2020,09/2022,11/2026,611.8,824.28,572.99,89.7,69.51,212.48,34.73,50,80,20,critical,High Risk (Critical),20.19
3,701121,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Andhra Pradesh,12/2022,08/2023,08/2025,08/2026,347.15,347.15,189.48,96.0,54.58,0.0,0.0,12,10,90,delayed,Watchlist (Amber),41.42
4,706724,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Assam,12/2016,03/2018,03/2025,06/2026,1712.0,2520.0,2670.23,99.5,105.96,808.0,47.2,15,65,35,critical,High Risk (Critical),-6.46
5,612183,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,08/2024,04/2025,03/2027,03/2027,1413.0,1413.0,15.53,4.15,1.1,0.0,0.0,0,0,99,on-track,On Track (Green),3.05
6,612194,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,07/2024,07/2024,07/2026,11/2026,911.66,911.66,426.22,71.1,46.75,0.0,0.0,4,10,90,delayed,Watchlist (Amber),24.35
7,701101,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Bihar,10/2018,10/2018,05/2026,08/2026,1216.9,1216.9,1203.48,99.26,98.9,0.0,0.0,3,10,90,delayed,Watchlist (Amber),0.36
8,619054,Development of Keshod Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,01/2024,07/2025,01/2027,01/2027,363.1,363.1,108.64,46.69,29.92,0.0,0.0,0,0,99,on-track,On Track (Green),16.77
9,701126,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Gujarat,06/2022,07/2022,06/2026,09/2026,1305.0,1551.0,966.36,88.0,62.31,246.0,18.85,3,35,65,delayed,Watchlist (Amber),25.69
10,611047,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Jammu and Kashmir,10/2023,12/2023,06/2026,11/2026,861.37,861.37,370.44,58.35,43.01,0.0,0.0,5,10,90,delayed,Watchlist (Amber),15.34
11,612787,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,01/2024,01/2026,09/2026,320.47,320.47,169.11,88.5,52.77,0.0,0.0,8,10,90,delayed,Watchlist (Amber),35.73
12,612788,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Karnataka,06/2023,02/2024,02/2026,08/2026,322.45,322.45,240.99,97.0,74.74,0.0,0.0,6,10,90,delayed,Watchlist (Amber),22.26
13,612789,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Kerala,06/2023,02/2024,09/2025,12/2026,484.57,484.57,242.51,65.8,50.05,0.0,0.0,15,25,75,delayed,Watchlist (Amber),15.75
14,400010,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Ladakh,07/2018,09/2018,09/2021,07/2026,480.0,640.0,512.55,88.0,80.09,160.0,33.33,58,80,20,critical,High Risk (Critical),7.91
15,706718,C/o NITB Imphal Airport,Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Manipur,11/2021,07/2022,07/2024,12/2026,499.0,499.0,212.17,53.14,42.52,0.0,0.0,29,25,75,critical,High Risk (Critical),10.62
16,611570,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",12/2020,10/2022,09/2025,08/2026,500.48,500.48,399.77,80.0,79.88,0.0,0.0,11,10,90,delayed,Watchlist (Amber),0.12
17,618977,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Airport Authority of India [AAI],Ministry of Civil Aviation,Aviation & Aviation Infrastructure,Rajasthan,08/2025,10/2025,10/2027,11/2027,1507.0,1507.0,81.41,13.6,5.4,0.0,0.0,1,10,90,delayed,Watchlist (Amber),8.2
